N;REGION;PREFECTURE;CANTON;LOCALITE;INFRASTRUCTURE;SECTEUR;TYPE;STATUT;ETAT;LATITUDE;LONGITUDE;ALTITUDE
7343;MARITIME;GOLFE;BAGUIDA;ADAMAVO;INSTITUT SCOLAIRE CIS-DIFFERENTIA;EDUCATION;LYCEE;PUBLIC;;6,17845;1,31115;
7357;MARITIME;GOLFE;AFLAO GAKLI;TESHIE;INSTITUT LE TECHNOCRATE;EDUCATION;LYCEE;PUBLIC;;6,18405;1,17057;
7362;MARITIME;GOLFE;AFLAO GAKLI;AMADAHOME;LYCEE TECHNIQUE D'ADIDOGME;EDUCATION;LYCEE;PUBLIC;;6,19247;1,16152;
7375;MARITIME;GOLFE;AFLAO GAKLI;AMADAHOME;GROUPE SCOLAIRE UNIVERSALIS;EDUCATION;LYCEE;PUBLIC;;6,2011;1,15592;
7379;MARITIME;GOLFE;AFLAO GAKLI;APÉDOKOÉ;INSTITUT PRIVE LES AS (2);EDUCATION;LYCEE;PUBLIC;;6,20593;1,14513;
7380;MARITIME;GOLFE;AFLAO GAKLI;APÉDOKOÉ;ECOLE ISLAMIQUE D'APEDOKOE;EDUCATION;COMPLEXE SCOLAIRE;;;6,20975;1,14235;
7383;MARITIME;GOLFE;AFLAO-SAGBADO;APÉDOKOÉ GBOMAMÈ;COMPLEXE SCOLAIRE ZANTOU II;EDUCATION;LYCEE;PUBLIC;;6,21895;1,12503;
7385;MARITIME;GOLFE;AFLAO-SAGBADO;APÉDOKOÉ GBOMAMÈ;COMPLEXE SCOLAIRE PRIVEE LAÏC MARANATHA;EDUCATION;COMPLEXE SCOLAIRE;;;6,21277;1,12913;
7386;MARITIME;GOLFE;AFLAO-SAGBADO;APÉDOKOÉ GBOMAMÈ;COMPLEXE SCOLAIRE EMILIENNE;EDUCATION;COMPLEXE SCOLAIRE;;;6,20865;1,1319;
7389;MARITIME;GOLFE;AFLAO-SAGBADO;WONYOME;COMPLEXE SCOLAIRE LES COCOTIERS;EDUCATION;LYCEE;PUBLIC;;6,1909;1,1597;
7394;MARITIME;GOLFE;AFLAO-SAGBADO;AWATAMÈ;COMPLEXE POLYTECHNIQUE ORA ET LABORA;EDUCATION;COMPLEXE SCOLAIRE;;;6,1764;1,1699;
7396;MARITIME;GOLFE;AFLAO-SAGBADO;AWATAMÈ;INSTITUT SCOLAIRE LE RESULTAT;EDUCATION;COMPLEXE SCOLAIRE;;;6,17317;1,1724;
7400;MARITIME;GOLFE;AFLAO-SAGBADO;AWATAMÈ;INSTITUT PRIVE AZIAGBA;EDUCATION;COMPLEXE SCOLAIRE;;;6,18123;1,16778;
7402;MARITIME;GOLFE;AFLAO-SAGBADO;AWATAMÈ;INSTITUT POLYVALENT BENEDICTUS;EDUCATION;COMPLEXE SCOLAIRE;;;6,18078;1,1646;
7409;MARITIME;GOLFE;AFLAO-SAGBADO;YOKOÉ KOPÉGAN;COMPLEXE SCOLAIRE LUMIERE V;EDUCATION;LYCEE;PUBLIC;;6,17178;1,1579;
7410;MARITIME;GOLFE;AFLAO-SAGBADO;YOKOÉ KOPÉGAN;COMPLEXE SCOLAIRE THE WINNER;EDUCATION;COMPLEXE SCOLAIRE;;;6,17415;1,15128;
